 17082008 12    3 0100086 2 35.1415.76 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100087 2 37.4017.19 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100088 2 36.1416.49 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100089 2 28.5411.95 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100090 2 36.5717.21 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100091 2 36.0815.91 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100092 2 39.0717.19 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100093 2 35.6516.48 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100094 2 36.6117.38 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100095 2 38.5517.64 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100096 2 35.0115.56 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100097 2 35.9116.46 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100098 2 35.9515.87 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100099 2 36.2716.85 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100100 2 38.4518.11 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100101 2 38.5918.09 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100102 2 39.5319.22 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
