 22092008 19    3 0100107 2 31.1012.73 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100108 2 35.1416.32 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100109 2 32.3913.77 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100110 2 35.5116.12 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100111 2 37.1216.42 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100112 2 32.3814.06 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100113 2 35.1115.18 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100114 2 27.9110.57 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100115 2 26.7410.72 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100116 2 29.4012.27 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100117 2 28.5111.03 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100118 2 25.27 9.34 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100119 2 27.6711.74 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100120 2 25.8510.18 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100121 2 16.50 5.70 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100122 2 37.9117.15 ****** 1  3 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
