 24072010 12    3 0050127 2 57.1629.51 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050128 2 49.8525.93 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050129 2 50.8525.23 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050130 2 53.8526.23 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050131 2 59.2729.60 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050132 2 53.4925.66 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050133 2 58.7329.25 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050134 2 55.7329.07 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050135 2 60.0431.17 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050136 2 53.8427.49 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050137 2 58.9430.33 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050138 2 60.7731.06 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050139 2 57.3928.68 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050140 2 55.7327.86 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050141 2 57.1831.26 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
