"depth.m.","date","temperature"
11,2020-06-17,9.7
12,2020-06-17,9.41
13,2020-06-17,9
14,2020-06-17,8.71
15,2020-06-17,8.46
16,2020-06-17,8.29
17,2020-06-17,8.11
18,2020-06-17,8.08
19,2020-06-17,8.06
20,2020-06-17,7.79
21,2020-06-17,6.53
22,2020-06-17,5.48
23,2020-06-17,4.8
24,2020-06-17,4.71
25,2020-06-17,4.44
26,2020-06-17,4.02
27,2020-06-17,3.5
28,2020-06-17,3.07
29,2020-06-17,2.76
30,2020-06-17,2.73
31,2020-06-17,2.76
32,2020-06-17,2.71
33,2020-06-17,2.35
34,2020-06-17,2.04
35,2020-06-17,1.93
36,2020-06-17,1.79
37,2020-06-17,1.69
38,2020-06-17,1.29
39,2020-06-17,1.2
40,2020-06-17,1.07
41,2020-06-17,0.93
42,2020-06-17,0.77
43,2020-06-17,0.71
44,2020-06-17,0.63
45,2020-06-17,0.58
46,2020-06-17,0.58
47,2020-06-17,0.55
48,2020-06-17,0.5
49,2020-06-17,0.41
50,2020-06-17,0.35
51,2020-06-17,0.28
52,2020-06-17,0.22
53,2020-06-17,0.15
54,2020-06-17,0.03
55,2020-06-17,-0.03
56,2020-06-17,0.01
57,2020-06-17,0.07
58,2020-06-17,0.15
59,2020-06-17,0.14
60,2020-06-17,0.14
61,2020-06-17,0.22
62,2020-06-17,0.28
63,2020-06-17,0.32
64,2020-06-17,0.34
65,2020-06-17,0.35
66,2020-06-17,0.36
67,2020-06-17,0.37
68,2020-06-17,0.37
69,2020-06-17,0.37
70,2020-06-17,0.38
71,2020-06-17,0.39
72,2020-06-17,0.4
73,2020-06-17,0.41
74,2020-06-17,0.43
75,2020-06-17,0.47
76,2020-06-17,0.54
77,2020-06-17,0.57
78,2020-06-17,0.57
79,2020-06-17,0.57
2,2020-06-18,12.61
3,2020-06-18,13.03
4,2020-06-18,12.85
5,2020-06-18,11.89
6,2020-06-18,11.06
7,2020-06-18,10.61
8,2020-06-18,10.51
9,2020-06-18,10.31
10,2020-06-18,10.04
11,2020-06-18,9.81
12,2020-06-18,9.55
13,2020-06-18,9.25
14,2020-06-18,8.9
15,2020-06-18,8.82
16,2020-06-18,8.56
17,2020-06-18,8.37
18,2020-06-18,8.2
19,2020-06-18,8.01
20,2020-06-18,7.64
21,2020-06-18,6.97
22,2020-06-18,6.04
23,2020-06-18,5.32
24,2020-06-18,4.51
25,2020-06-18,4.09
26,2020-06-18,3.8
27,2020-06-18,3.64
28,2020-06-18,3.3
29,2020-06-18,3.17
30,2020-06-18,3.11
31,2020-06-18,3.06
32,2020-06-18,2.92
33,2020-06-18,2.63
34,2020-06-18,2.34
35,2020-06-18,2.04
36,2020-06-18,1.81
37,2020-06-18,1.77
38,2020-06-18,1.56
39,2020-06-18,1.42
40,2020-06-18,1.38
41,2020-06-18,1.32
42,2020-06-18,1.17
43,2020-06-18,1.06
44,2020-06-18,0.87
45,2020-06-18,0.78
46,2020-06-18,0.69
47,2020-06-18,0.57
48,2020-06-18,0.47
49,2020-06-18,0.28
50,2020-06-18,0.13
51,2020-06-18,0.1
52,2020-06-18,-0.02
53,2020-06-18,-0.04
54,2020-06-18,0.02
55,2020-06-18,0.05
56,2020-06-18,0.04
57,2020-06-18,0.05
58,2020-06-18,0.11
59,2020-06-18,0.15
60,2020-06-18,0.2
61,2020-06-18,0.24
62,2020-06-18,0.28
63,2020-06-18,0.3
64,2020-06-18,0.32
65,2020-06-18,0.34
66,2020-06-18,0.35
67,2020-06-18,0.35
68,2020-06-18,0.36
69,2020-06-18,0.37
70,2020-06-18,0.37
71,2020-06-18,0.38
72,2020-06-18,0.38
73,2020-06-18,0.38
74,2020-06-18,0.4
75,2020-06-18,0.42
76,2020-06-18,0.45
77,2020-06-18,0.48
78,2020-06-18,0.52
79,2020-06-18,0.55
3,2020-06-19,13.77
4,2020-06-19,13.37
5,2020-06-19,11.66
6,2020-06-19,10.66
7,2020-06-19,10.3
8,2020-06-19,10.18
9,2020-06-19,10.11
10,2020-06-19,9.93
11,2020-06-19,9.74
12,2020-06-19,9.59
13,2020-06-19,9.44
14,2020-06-19,9.06
15,2020-06-19,8.76
16,2020-06-19,8.64
17,2020-06-19,8.51
18,2020-06-19,8.39
19,2020-06-19,8.33
20,2020-06-19,7.75
21,2020-06-19,6.7
22,2020-06-19,5.8
23,2020-06-19,4.99
24,2020-06-19,4.64
25,2020-06-19,4.37
26,2020-06-19,4.16
27,2020-06-19,3.92
28,2020-06-19,3.71
29,2020-06-19,3.7
30,2020-06-19,3.41
31,2020-06-19,2.96
32,2020-06-19,2.75
33,2020-06-19,2.65
34,2020-06-19,2.39
35,2020-06-19,2.22
36,2020-06-19,2.16
37,2020-06-19,2.08
38,2020-06-19,1.82
39,2020-06-19,1.74
40,2020-06-19,1.66
41,2020-06-19,1.48
42,2020-06-19,1.37
43,2020-06-19,1.22
44,2020-06-19,0.92
45,2020-06-19,0.81
46,2020-06-19,0.69
47,2020-06-19,0.63
48,2020-06-19,0.53
49,2020-06-19,0.37
50,2020-06-19,0.22
51,2020-06-19,0.09
52,2020-06-19,0.06
53,2020-06-19,0.09
54,2020-06-19,0.11
55,2020-06-19,0.14
56,2020-06-19,0.19
57,2020-06-19,0.2
58,2020-06-19,0.22
59,2020-06-19,0.26
60,2020-06-19,0.28
61,2020-06-19,0.3
62,2020-06-19,0.3
63,2020-06-19,0.31
64,2020-06-19,0.33
65,2020-06-19,0.35
66,2020-06-19,0.36
67,2020-06-19,0.38
68,2020-06-19,0.38
69,2020-06-19,0.38
70,2020-06-19,0.38
71,2020-06-19,0.39
72,2020-06-19,0.39
73,2020-06-19,0.41
74,2020-06-19,0.46
75,2020-06-19,0.49
76,2020-06-19,0.5
77,2020-06-19,0.5
78,2020-06-19,0.52
79,2020-06-19,0.54
2,2020-06-21,13.06
3,2020-06-21,13.03
4,2020-06-21,13.01
5,2020-06-21,12.97
6,2020-06-21,12.75
7,2020-06-21,12.3
8,2020-06-21,11.7
9,2020-06-21,11.23
10,2020-06-21,10.65
11,2020-06-21,10.23
12,2020-06-21,9.98
13,2020-06-21,9.58
14,2020-06-21,9.32
15,2020-06-21,9.04
16,2020-06-21,8.64
17,2020-06-21,8.37
18,2020-06-21,7.97
19,2020-06-21,7.37
20,2020-06-21,6.89
21,2020-06-21,6.45
22,2020-06-21,5.77
23,2020-06-21,5.03
