 25091993 19    3 0040001 1    42***** ****** 1 ** **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040358 2    47   32 ****** 3M** 1400000000 ********11 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040359 2    54   36 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040360 2    58   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040361 2    66   44 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040362 2    47   33 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040363 2    52   33 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040364 2    52***** ****** 1  3 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040365 2    51***** ****** 1  3 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040366 2    50***** ****** 1  3 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040367 2    50***** ****** 1  3 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040368 2    49***** ****** 1  3 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040369 2    47***** ****** 1  3 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040370 2    45***** ****** 1  1 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040371 2    47***** ****** 1  3 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040372 2    37***** ****** 1  1 **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
